alias,tcode,canonical_desc
create outbound delivery,VL01N,Create Outbound Delivery
outbound delivery,VL01N,Create Outbound Delivery
change outbound delivery,VL02N,Change Outbound Delivery
display outbound delivery,VL03N,Display Outbound Delivery
post goods issue,VL02N,Post Goods Issue
goods issue,VL02N,Post Goods Issue
delivery monitor,VL06O,Outbound Delivery Monitor
open deliveries,VL06O,Outbound Delivery Monitor
warehouse monitor,LT24,Warehouse Monitor
transfer order,LT01,Create Transfer Order
create transfer order,LT01,Create Transfer Order
confirm transfer order,LT12,Confirm Transfer Order
cancel transfer order,LT15,Cancel Transfer Order
display transfer order,LT21,Display Transfer Order
goods receipt,MIGO,Goods Movement
post goods receipt,MIGO,Goods Movement
goods movement,MIGO,Goods Movement
shipment creation,VT01N,Create Shipment
create shipment,VT01N,Create Shipment
change shipment,VT02N,Change Shipment
display shipment,VT03N,Display Shipment
transportation planning,VT04,Shipment Planning
packing,HUPACK,Handling Unit Packing
handling unit,HU02,Change Handling Unit
display handling unit,HU03,Display Handling Unit
warehouse stock,LS24,Warehouse Stock
storage bin stock,LS24,Warehouse Stock
picking,VL02N,Picking
packing delivery,VL02N,Packing
shipping point,OVXD,Define Shipping Point
route determination,OVTC,Define Routes
delivery block,OVV2,Delivery Block
inbound delivery,VL31N,Create Inbound Delivery
change inbound delivery,VL32N,Change Inbound Delivery
display inbound delivery,VL33N,Display Inbound Delivery
yard management,YM01,Yard Management
