tcode,description,module
/EBY/ICIV_ACCR_REP,PDAP/ICS Accrual Report,FI
/PERSONAS/LAUNCH,Personas Flavor Launcher,FI
/SAPPO/PPO3,Display Postprocessing Order,BC
/SAPSLL/BL_DOC_MM_R3,GTS: LCI: Blocked MM Docmts,GTS
/SAPSLL/CUS_INV_R3,GTS: Shipment Consolidation,GTS
6KEA,Profit Center: Display Changes,FI
AR01,Call Asset List,FI
AS03,Display Asset Master Record,FI
AUVA,FI-AA Incomplete Assets,FI
AW01N,Asset Explorer,FI
BMBC,Batch Information Cockpit,PP
BMC3,Display Class (Class Type 'BATCH'),PP
BP,Maintain Business Partner,FI
BPCD,Business Partner: Change Documents,FI
C203,Display Master Recipe,PP
C223_Display Production Version,PP
C261,Change Document Display Master Rec.,PP
CA81,Master recipe usage and resources,PP
CC03,Display Change Master,PP
CC04,Display Product Structure,PP
CC05,Change overview,PP
CC07,Engineering Change Mgmt information,PP
CC13,Display Material Revision Level,PP
CC16,Display Document Revision Level,PP
CC23,Display Object Management Record,PP
CC33,Display Change Request,PP
CC60,Browser hierarchy,PP
CDESK,CAD Desktop,PLM
CFM4,Display Integration Models,PP
CG02,Substance Workbench,PP
CG02BD,Specification Workbench,PP
CG13,Display Phrases,PP
CG54,Report Information System,PP
CK13,Display Product Cost Estimate,CO
CK13N,Display Material Cost Estimate,CO
CK33,Comparison of Itemizations,CO
CK76N,Display Additive Costs,CO
CK80_99,Material: Cost Components,FI
CK84_99,Material: Itemization,CO
CK84_99_COST_ELEMENT,Cost Elements,CO
CK86_99,Material: Multilevel BOM,FI
CK88_99,Material: Partner Cost Comp. Split,FI
CK95,Display Mixing Ratios,CO
CKAPP01,Materials To Be Costed,CO
CKM3,Material Price Analysis,FI
CKM3N,Material Price Analysis,FI
CKMACD,Value Flow Display f. Activity Types,FI
CKMB,Display Material Ledger Document,FI
CKMCCD,ManChang: Display Actual CC Split,FI
CKMDUVSHOW,Display Inventory and Activity Diff.,FI
CKMH,Single-Level Price Determination,FI
CKMJ,Display Organizational Measures,FI
CKMLMV_CA,Edit Controlling Level,CO
CKMLQS,Valuated Quantity Structure(M-level),FI
CKMLSTATUS,Materials by Period Status,FI
CKMREDWIP,Value Flow Display for Reduced WIP,FI
CKMTOPPRICEDIF,Mat. with Highest MAP Difference,FI
CKMTOPSTOCKVAL,Materials w/ Highest Inventory Value,FI
CKMVFM,Value Flow Monitor,FI
CL03,Display Class,CO
CL30N,Find Objects in Classes,CO
CL31,Find Object In Class Type,CO
CMXSV,Standard XStep Repository,CO
CO_ARCH_PISHEET,Archive PI Sheets,PP
CO06,Backorder Processing,CO
CO09,Availability Overview,PP
CO24,MissingPartsInfoSyst,CO
CO52,Evaluate Process Data,CO
CO53,Control Recipe Monitor,PP
CO54,Message Monitor,PP
CO57,Create Message Manually,PP
CO60,Find PI Sheet,PP
CO69,Create Message Automatically,PP
COB3,Display batch search strategy- prod.,PP
COCR_PROF,Assign Standard XStep Profile,PP
COHVPI,Mass Processing: Process Orders,PP
COID,Select Object Detail Lists in PP-PI,PP
COIO,Order Info System for PP-PI,PP
COMLWIPDISP,Trans. For Prog. Display_WIP_OBJ_M,FI
