tcode,description,module
0KE0,EC-PCA: Transfer prog. for act. data,
0KE1,EC-PCA: Delete Transaction Data,
0KE2,EC-PCA: Del. Profit Ctr Master Data,
0KE4,EC-PCA: Update settings,
0KE5,EC-PCA: Controlling Area Settings,
0KE6,EC-PCA: Average Balance Ledger,
0KE7,EC-PCA: Maintain Time-Based Fields,
0KE8,EC-PCA:Maintain Summarization Fields,
0KEB,EC-PCA: Generate reports,
0KEK,EC-PCA: Account Determination,
0KEL,EC-PCA: Substitutions,
0KEM,EC-PCA: Maintain substitutions,
0KEMD_46C_UPGRADE,EC-PCA: Upgrade PrCtr MstData <= 46B,
0KEN,"Special handling, PrCtr goods mvmt",
0KEO,Activities in Profit Center Accountg,
0KEP,EC-PCA:Transport Environ/Master Data,
0KEQ,EC-PCA: Transport Master Data,
0KER,EC-PCA: Transport Planning,
0KES,EC-PCA: Transport Actual Settings,
0KET,EC-PCA: Transport Information System,
0KEU,EC-PCA: Transport Cycles,
0KEW,EC-PCA: Conv. RW reports 2.x -> 3.0,
0KEX,EC-PCA: Conv. totals recs 2.x ->3.0,
0KEX_ROLE,Workflow: Role Customizing,
0KEX_TASK,Workflow: Task Customizing,
0KEY,EC-PCA: Conv.act.line items 2.x->3.0,
0KEZ,EC-PCA:Conv.plan line items 2.x->3.0,
0KM1,CO Variant Maintenance: Cost Centers,
0KW1,"CO Area Settings, Business Processes",
0KW2,Change Business Process Attributes,
0KW3,CO Variant Maintenance: CO-OM-ABC,
0KW9,Import Business Process Reports,
0KWO,Maintain Search Help for Bus. Proc.,
0KWT,CO-OM-ABC: Transport Customizing,
0PEG01,General Settings,
0PEG02,Allowed Movement Types,
0VI1,Maintain selection variants calc.,
0VI2,Maintain selection variants settl.,
0VI3,Selec.var. coll. run shipment costs,
0VI4,Selec.var. coll. run shipment costs,
0VLK,Customizing for delivery types,
0VLP,Customizing/deliv.item categories,
0VT1,Maintain PersInChargOfShip SelectVar,
0VT2,Maintain Tranport.Process. SelectVar,
0VT3,Maintain Selection Var. Registration,
0VT5,Maintain utilization select.variants,
0VT6,Maintain free capacity sel. variants,
0VT7,Maintain Selection Variant F4 Help,
0VT9,Maintain Selection Variant F4 Help,
0VTC,Route definition,
0VTCFP,Set Freight Planning for Fwdg Agents,
0VTD,Def. of Transp. Connection Point,
0VTE,Multiple Maintenance Route Stages,
0VTG,Cumulation of Materials in TPS,
0VTGC,Cumulation of Matl (Freight Plng),
0VTH,Insert Material Cumulation to TPS,
0VTI,Copy Material Cumulation to TPS,
0VTP,Tr.Planning Pos.ext. Planning System,
0VTR,Route limits ext. Transport. Planng,
0VTRC,Route Limitation f. Freight Planning,
0VTS,Copy TPS Route Restrictions,
0VTT,Create TPS Route Restrictions,
0VX1,Maintain Selection Variants MITI,
